Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Middle-earth: Shadow of Mordor (La Terre du Milieu : L'Ombre du Mordor);Middle-earth: Shadow of Mordor;La Terre du Milieu : L'Ombre du Mordor;PC;En cours;1;;;POSSEDE;30/09/2014;30/09/2014;25/10/2014;Warner Bros Games;Monolith Productions;;15.4464;56.0;Action/Aventure;Beat'em All
League Of Legends;League Of Legends;;PC;Fini;131;;;POSSEDE;27/10/2009;27/10/2009;;Riot Games;Riot Games;17.0;16.2454;273.0;MOBA;
Legends of Runeterra;Legends of Runeterra;;PC;Joué;1;;;POSSEDE;24/01/2020;;;Riot Games;Riot Games;;15.6667;3.0;Stratégie;Jeu de cartes
The Sims 2 (Les Sims 2);The Sims 2;Les Sims 2;PC;Fini;0;;;POSSEDE;16/09/2004;16/09/2004;;Electronic Arts;Maxis;16.0;16.4058;138.0;Simulation de vie;
The Sims 3 (Les Sims 3);The Sims 3;Les Sims 3;PC;Joué;0;;;POSSEDE;02/06/2009;02/06/2009;02/06/2009;Electronic Arts;The Sims Studio;;16.3602;211.0;Simulation de vie;
Life is Strange;Life is Strange;;PC;Fini;12;;2017-00-00;POSSEDE;30/01/2015;30/01/2015;03/03/2016;Square Enix;DONTNOD Entertainment;17.0;17.4345;313.0;Aventure Narrative;
Life is Strange: Before the Storm;Life is Strange: Before the Storm;;PC;Fini;13;;2025-11-23;POSSEDE;31/08/2017;31/08/2017;;Square Enix;Deck Nine Games;18.0;16.8333;96.0;Aventure Narrative;
Raitoningu Rit?nzu: Fainaru Fantaj? S?t?n (Lightning Returns : Final Fantasy XIII);Raitoningu Rit?nzu: Fainaru Fantaj? S?t?n;Lightning Returns : Final Fantasy XIII;Xbox 360;Joué;0;;;POSSEDE;14/02/2014;11/02/2014;21/11/2013;Square Enix;Square Enix;;14.7143;7.0;RPG;
Limbo;Limbo;;PC;En cours;1;;;POSSEDE;02/08/2011;02/08/2011;02/08/2011;Playdead;Playdead;;16.1368;95.0;Plates-Formes;Réflexion
Live a Live;Live a Live;;Nintendo Switch;Wishé;0;;;NE POSSEDE PAS;22/07/2022;22/07/2022;22/07/2022;Nintendo;Square Co.;;15.3333;9.0;RPG;
