Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
SimCity 4;SimCity 4;;PC;Joué;0;;;POSSEDE;16/01/2003;12/01/2003;;Electronic Arts;Maxis;;15.3158;38.0;City Builder;
SimCity BuildIt;SimCity BuildIt;;iOS;En cours;17;;;POSSEDE;24/10/2014;;;Electronic Arts;EA Games;;;;City Builder;
Sleeping Dogs;Sleeping Dogs;;PC;En pause;0;;;POSSEDE;17/08/2012;14/08/2012;;Square Enix;United Front Games;;15.5;2.0;Action;
Sleeping Dogs;Sleeping Dogs;;Xbox 360;Joué;7;;;POSSEDE;17/08/2012;14/08/2012;27/09/2012;Square Enix;United Front Games;;15.5385;26.0;Action;Course
Spider-Man 2;Spider-Man 2;;GameCube;Fini;0;;;NE POSSEDE PAS;02/07/2004;;;Activision;Treyarch;16.0;15.1667;6.0;Action;Plates-Formes
Spore;Spore;;PC;Fini;11;;2016-00-00;POSSEDE;05/09/2008;04/09/2008;;Electronic Arts;Maxis;16.0;15.7692;39.0;Gestion;Simulation
Star Citizen;Star Citizen;;PC;Wishé;0;;;NE POSSEDE PAS;;;;Robert Space Industries;Cloud Imperium Games;;14.0;5.0;Simulation;Action
Star Ocean: The Last Hope;Star Ocean: The Last Hope;;Xbox 360;Joué;0;;;NE POSSEDE PAS;04/06/2009;03/03/2009;19/02/2009;Square Enix;Tri-Ace;12.0;14.0;7.0;RPG;
Star Wars: The Force Unleashed (Star Wars : Le Pouvoir de la Force);Star Wars: The Force Unleashed;Star Wars : Le Pouvoir de la Force;Xbox 360;Fini;0;;;POSSEDE;19/09/2008;16/09/2008;;LucasArts Entertainment;LucasArts Entertainment;14.0;15.5217;23.0;Action;Beat'em All
Star Wars : Rogue Squadron III - Rebel Strike;Star Wars : Rogue Squadron III - Rebel Strike;;GameCube;Fini;0;;;POSSEDE;07/11/2003;24/10/2003;21/11/2003;LucasArts Entertainment;Factor 5;16.0;16.3529;17.0;Shoot'em Up;
Star Wars Jedi: Fallen Order;Star Wars Jedi: Fallen Order;;PC;En cours;0;;;POSSEDE;15/11/2019;15/11/2019;;Electronic Arts;Respawn Entertainment;;15.8966;58.0;Action/Aventure;
Star Wars Outlaws;Star Wars Outlaws;;Nintendo Switch 2;Wishé;0;0000-00-00;0000-00-00;SOUHAITE ACHETER;04/09/2025;04/09/2025;04/09/2025;Ubisoft;Massive Entertainment;;;;Action/Aventure;
Star Wars: Episode I - The Phantom Menace (Star Wars: Episode I - La Menace Fantôme);Star Wars: Episode I - The Phantom Menace;Star Wars: Episode I - La Menace Fantôme;Playstation;Fini;0;;;POSSEDE;04/06/1999;30/04/1999;;LucasArts Entertainment;Big Ape Productions;16.0;14.4737;19.0;Action/Aventure;
Star Wars: Knights of the Old Republic;Star Wars: Knights of the Old Republic;;PC;En pause;0;;;POSSEDE;05/12/2003;19/11/2003;;LucasArts Entertainment;BioWare;;17.1957;46.0;RPG;
Starcraft II: Wings of Liberty (StarCraft 2 : Les ailes de la liberté);Starcraft II: Wings of Liberty;StarCraft 2 : Les ailes de la liberté;PC;Joué;0;;;POSSEDE;27/07/2010;27/07/2010;;Blizzard Entertainment;Blizzard Entertainment;;17.1368;95.0;RTS;
Stardew Valley;Stardew Valley;;PC;En cours;43;;;POSSEDE;26/02/2016;26/02/2016;26/02/2016;Chucklefish;ConcernedApe;;17.1875;96.0;Simulation;RPG
Stardew Valley;Stardew Valley;;Nintendo Switch;En cours;20;;;POSSEDE;05/10/2017;05/10/2017;05/10/2017;Chucklefish;ConcernedApe;;17.2195;41.0;Simulation;RPG
Starfield;Starfield;;PC;Wishé;0;;;SOUHAITE ACHETER;06/09/2023;06/09/2023;;Bethesda Softworks;Bethesda Game Studios;;13.875;24.0;RPG;
Startup Company;Startup Company;;PC;En cours;7;;;POSSEDE;11/08/2017;;;Hovgaard Games;Hovgaard Games;;17.3333;3.0;Simulation;
Street Fighter II: The World Warrior;Street Fighter II: The World Warrior;;Super Nintendo;Fini;0;;;POSSEDE;;10/06/1992;;Capcom;Capcom;17.0;16.6786;28.0;Jeu de combat;
Suikoden Tierkreis;Suikoden Tierkreis;;Nintendo DS;Fini;0;;;POSSEDE;19/03/2009;;18/12/2008;Konami;Konami;17.0;16.7895;19.0;RPG;
Super Mario Bros.;Super Mario Bros.;;Nintendo Entertainment System;Fini;0;;;POSSEDE;13/09/1987;01/10/1985;13/09/1985;Nintendo;Nintendo;16.0;16.3407;91.0;Plates-Formes;
S?p? Mario Gyarakush? (Super Mario Galaxy);S?p? Mario Gyarakush?;Super Mario Galaxy;Wii;Joué;0;;;POSSEDE;16/11/2007;12/11/2007;01/11/2007;Nintendo;Nintendo EAD Tokyo;;16.9897;194.0;Plates-Formes;
Super Mario Kart;Super Mario Kart;;Super Nintendo;Fini;0;;;POSSEDE;21/01/1993;01/09/1992;27/08/1992;Nintendo;Nintendo;17.0;16.717;53.0;Course;
Super Mario Odyssey;Super Mario Odyssey;;Nintendo Switch;Fini;15;;;POSSEDE;27/10/2017;27/10/2017;27/10/2017;Nintendo;Nintendo;18.0;16.9889;180.0;Plates-Formes;
Super Mario Party;Super Mario Party;;Nintendo Switch;En cours;11;;;POSSEDE;05/10/2018;05/10/2018;05/10/2018;Nintendo;Nintendo;;14.9149;47.0;Party-Game;
Super Mario Run;Super Mario Run;;iOS;Fini;2;;;POSSEDE;15/12/2016;15/12/2016;15/12/2016;Nintendo;Nintendo;;9.83333;6.0;Runner;Course
Super Smash Bros. Brawl;Super Smash Bros. Brawl;;Wii;Fini;15;;;POSSEDE;27/06/2008;09/03/2008;31/01/2008;Nintendo;Sora;16.0;16.9067;150.0;Jeu de combat;Plates-Formes
Super Smash Bros. Melee;Super Smash Bros. Melee;Super Smash Bros. Melee;GameCube;Fini;0;;;NE POSSEDE PAS;24/05/2002;02/12/2001;02/11/2001;Nintendo;Nintendo;16.0;17.6159;151.0;Jeu de combat;
Super Street Fighter IV;Super Street Fighter IV;;Xbox 360;Joué;0;;;POSSEDE;30/04/2010;27/04/2010;28/04/2010;Capcom;Capcom;15.0;14.6;5.0;Jeu de combat;
Tales of Symphonia;Tales of Symphonia;;GameCube;Fini;114;;;NE POSSEDE PAS;19/11/2004;13/07/2004;29/08/2003;Namco;Namco Tales Studio;19.0;17.8642;81.0;RPG;
Tales of Symphonia;Tales of Symphonia;;PC;Fini;37;;;POSSEDE;02/02/2016;02/02/2016;02/02/2016;Namco;Namco Tales Studio;18.0;17.8571;7.0;RPG;Aventure
Tales Of Vesperia;Tales Of Vesperia;;Xbox 360;Fini;0;;;NE POSSEDE PAS;26/06/2009;16/09/2008;07/08/2008;Namco;Namco Tales Studio;17.0;16.4091;22.0;Action-RPG;
Teamfight Tactics;Teamfight Tactics;;PC;En cours;375;;;POSSEDE;26/06/2019;;;Riot Games;Riot Games;18.0;16.5;6.0;Stratégie;
Tekken 3;Tekken 3;;Playstation;Fini;0;;;POSSEDE;;;26/03/1998;Namco;Namco;15.0;15.757;107.0;Jeu de combat;
Temtem;Temtem;;PC;En cours;1;;;POSSEDE;06/09/2022;06/09/2022;;Humble Bundle;Crema;;15.875;8.0;MMORPG;
The Elder Scrolls IV: Oblivion;The Elder Scrolls IV: Oblivion;;Xbox 360;Joué;0;;;POSSEDE;24/03/2006;20/03/2006;26/07/2007;2K Games;Bethesda Game Studios;15.0;15.9615;26.0;Action-RPG;
The Elder Scrolls V: Skyrim - Special Edition;The Elder Scrolls V: Skyrim - Special Edition;;PC;En cours;74;;;POSSEDE;28/10/2016;28/10/2016;;Bethesda Softworks;Bethesda Softworks;;17.6136;44.0;RPG;
The Elder Scrolls VI;The Elder Scrolls VI;;PC;Wishé;0;;;NE POSSEDE PAS;;;;Bethesda Softworks;Bethesda Softworks;;;;RPG;Action/Aventure
The Elder Scrolls: Blades;The Elder Scrolls: Blades;;iOS;En cours;5;;;POSSEDE;07/04/2019;07/04/2019;;Bethesda Softworks;Bethesda Game Studios;;13.0;1.0;Action-RPG;
The Last of Us;The Last of Us;;Playstation 4;Fini;14;;2023-00-00;POSSEDE;30/07/2014;30/07/2014;21/08/2014;Sony Computer Entertainment;Naughty Dog;18.0;18.2573;342.0;Action/Aventure;
The Last of Us : Part II;The Last of Us : Part II;;Playstation 4;En cours;0;;;POSSEDE;19/06/2020;19/06/2020;;Sony Interactive Entertainment;Naughty Dog;;17.9013;233.0;Action/Aventure;
The Last of Us: Left Behind;The Last of Us: Left Behind;;Playstation 4;Fini;3;;2023-00-00;POSSEDE;12/05/2015;12/05/2015;;Sony Computer Entertainment;Naughty Dog;17.0;16.4783;69.0;Action/Aventure;
The Legend of Zelda : Breath of the Wild;The Legend of Zelda : Breath of the Wild;;Nintendo Switch;En cours;70;;;POSSEDE;03/03/2017;03/03/2017;03/03/2017;Nintendo;Nintendo;;18.0871;379.0;Action/Aventure;
The Legend of Zelda : Ocarina of Time;The Legend of Zelda : Ocarina of Time;;Nintendo 3DS;Joué;0;;;POSSEDE;17/06/2011;19/06/2011;16/06/2011;Nintendo;Nintendo;;17.6077;130.0;Action/Aventure;
The Legend of Zelda : The Wind Waker;The Legend of Zelda : The Wind Waker;;GameCube;Joué;0;;;NE POSSEDE PAS;03/05/2003;24/03/2003;13/12/2002;Nintendo;Nintendo EAD;16.0;18.2321;237.0;Action/Aventure;
Wied?min 2: Zabójcy królów (The Witcher 2 - Assassins of Kings);Wied?min 2: Zabójcy królów;The Witcher 2 - Assassins of Kings;PC;Fini;26;;2016-00-00;POSSEDE;17/05/2011;17/05/2011;28/07/2011;Atari;CD Projekt;17.0;16.6636;107.0;Aventure-RPG;
Wied?min 2: Zabójcy królów (The Witcher 2 - Assassins of Kings);Wied?min 2: Zabójcy królów;The Witcher 2 - Assassins of Kings;Xbox 360;Joué;0;;;POSSEDE;17/04/2012;01/04/2012;;Bandai Namco Entertainment;CD Projekt;;16.1667;24.0;Aventure-RPG;
Wied?min 3: Dziki Gon (The Witcher 3 - Wild Hunt);Wied?min 3: Dziki Gon;The Witcher 3 - Wild Hunt;Playstation 4;Fini;42;;2016-00-00;POSSEDE;19/05/2015;19/05/2015;21/05/2015;Bandai Namco Entertainment;CD Projekt RED;18.0;18.4455;220.0;Aventure-RPG;
Wied?min 3: Dziki Gon (The Witcher 3 - Wild Hunt);Wied?min 3: Dziki Gon;The Witcher 3 - Wild Hunt;PC;Fini;97;;2017-00-00;POSSEDE;19/05/2015;19/05/2015;;Bandai Namco Entertainment;CD Projekt RED;19.0;18.4281;292.0;Aventure-RPG;
Wied?min (The Witcher);Wied?min;The Witcher;PC;Fini;31;;2016-00-00;POSSEDE;26/10/2007;26/10/2007;;Atari;CD Projekt;17.0;16.1085;129.0;RPG;Aventure
Theatrhythm Final Bar Line;Theatrhythm Final Bar Line;;Nintendo Switch;En cours;20;;;POSSEDE;16/02/2023;16/02/2023;16/02/2023;Square Enix;Square Enix;;17.6667;3.0;Musical-Rythme;
Theatrhythm Final Fantasy: Curtain Call;Theatrhythm Final Fantasy: Curtain Call;;Nintendo 3DS;Fini;16;;;POSSEDE;16/09/2014;;24/04/2014;Square Enix;Indies Zero;17.0;17.1176;17.0;Musical-Rythme;
Thronebreaker: The Witcher Tales;Thronebreaker: The Witcher Tales;;PC;En cours;2;;;POSSEDE;23/10/2018;23/10/2018;;CD Projekt RED;CD Projekt RED;;15.3333;9.0;Stratégie;
Tintin au Tibet;Tintin au Tibet;;Super Nintendo;Fini;0;;;POSSEDE;;;;Infogrames;Infogrames;14.0;11.125;16.0;Plates-Formes;Aventure
Tiny Glade;Tiny Glade;;PC;En cours;2;;0000-00-00;POSSEDE;23/09/2024;;;Pounce Light;Pounce Light;;15.6667;3.0;Autre;
Tomb Raider;Tomb Raider;;Playstation;Joué;0;;;POSSEDE;25/11/1996;14/11/1996;14/02/1997;Eidos Interactive;Core Design;;16.2315;108.0;Action/Aventure;
Tomb Raider (2013);Tomb Raider (2013);;PC;Fini;9;;2017-00-00;POSSEDE;05/03/2013;05/03/2013;;Square Enix;Crystal Dynamics;17.0;16.7971;207.0;Action/Aventure;
Top Spin 4;Top Spin 4;;Xbox 360;Joué;0;;;POSSEDE;;;;2K Sports;2K Czech;15.0;16.125;8.0;Sport ;
Total War: ROME II;Total War: ROME II;;PC;En pause;0;;;POSSEDE;03/09/2013;03/09/2013;03/09/2013;Sega;The Creative Assembly;;16.2857;21.0;RTS;Gestion
Triangle Strategy;Triangle Strategy;;Nintendo Switch;Wishé;0;;;SOUHAITE ACHETER;04/03/2022;04/03/2022;04/03/2022;Square Enix;Square Enix;;16.1538;13.0;Tactical-RPG;Stratégie
Trine;Trine;;PC;En pause;0;;;POSSEDE;03/07/2009;08/09/2009;04/12/2009;Nobilis;Frozenbyte;;15.62;50.0;Aventure / Plates-Formes;RPG
Trine 2;Trine 2;;PC;En pause;0;;;POSSEDE;;;;Focus Home Interactive;Frozenbyte;;16.4828;29.0;Plates-Formes;Réflexion
Untitled Goose Game;Untitled Goose Game;;Nintendo Switch;Wishé;0;;;SOUHAITE ACHETER;20/09/2019;20/09/2019;;Panic;House House;;15.6667;3.0;Genre à la con;
Watch Dogs;Watch Dogs;;PC;Fini;21;;2019-00-00;POSSEDE;27/05/2014;;;Ubisoft;Ubisoft Montréal;16.0;13.759;83.0;Action;
Watch Dogs;Watch Dogs;;Playstation 4;Joué;0;;;POSSEDE;27/05/2014;27/05/2014;;Ubisoft;Ubisoft Montréal;;15.1429;56.0;Action;
Watch Dogs 2;Watch Dogs 2;;PC;En cours;21;;;POSSEDE;29/11/2016;29/11/2016;;Ubisoft;Ubisoft Kiev;;15.3704;27.0;Action;Infiltration
World of WarCraft;World of WarCraft;;PC;Joué;0;;;POSSEDE;11/02/2005;23/11/2004;01/06/2005;Blizzard Entertainment;Blizzard Entertainment;;16.799;194.0;MMORPG;
Xenoblade Chronicles;Xenoblade Chronicles;;Wii;Joué;32;;;POSSEDE;19/08/2011;02/04/2012;10/06/2010;Nintendo;Monolith Soft;;18.0;35.0;RPG;
Xenoblade Chronicles;Xenoblade Chronicles;;Nintendo Switch;Fini;57;;2022-00-00;POSSEDE;29/05/2020;29/05/2020;29/05/2020;Nintendo;Monolith Soft;19.0;17.8235;17.0;RPG;
Xenoblade Chronicles 2;Xenoblade Chronicles 2;;Nintendo Switch;Fini;86;;2022-00-00;POSSEDE;01/12/2017;;;Nintendo;Monolith Soft;18.0;17.1429;21.0;RPG;Tactical-RPG
Xenoblade Chronicles 3;Xenoblade Chronicles 3;;Nintendo Switch;En cours;50;;;POSSEDE;29/07/2022;;;Nintendo;Monolith Soft;;17.3;10.0;Aventure-RPG;
Zoo Tycoon;Zoo Tycoon;;PC;Fini;0;;;POSSEDE;14/11/2001;;;Microsoft Games;Blue Fang Games;15.0;16.1875;32.0;Gestion;
